run_id,sensor_id,transformation,scope_id,start_date,end_date,n,adf_statistic,adf_p_value,adf_used_lags,kpss_statistic,kpss_p_value,kpss_used_lags,joint_interpretation,test_warning
mid_E2_B__daily_level__mid_E2_B_s06_hx_vpa_400_27090342__WY2010__r3,mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2010,2010-01-26,2010-09-30,248,-1.8098310091249312,0.3755919094011464,4,2.0693613944559126,0.01,10,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s06_hx_vpa_400_27090342__WY2012__r1,mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2012,2011-10-01,2012-08-21,326,-0.07169907133542831,0.9521854695809348,9,2.1325694341537216,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1,mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2013,2012-10-02,2013-04-18,199,-1.8490172571975338,0.3564115885133944,2,1.2224936332122358,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r4,mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2014,2014-04-02,2014-09-30,182,-2.624386818773586,0.08806102283229328,0,1.4315973911380941,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s06_hx_vpa_400_27090342__WY2015__r1,mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2015,2014-10-01,2015-04-07,189,-2.6275246024057597,0.08744087305989712,13,0.3829955520236175,0.084484675851889,9,tests_disagree_or_are_inconclusive,none
mid_E2_B__daily_level__mid_E2_B_s06_hx_vpa_400_27090342__WY2016__r1,mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2016,2015-10-01,2016-05-31,244,-2.331550857062652,0.16199397556177497,0,1.5390107895781604,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s07_hx_pa_400_39070751__WY2016__r1,mid_E2_B,daily_level,mid_E2_B_s07_hx_pa_400_39070751__WY2016,2016-06-01,2016-09-30,122,-9.693039074108736,1.1231707110429619e-16,0,0.2762508005347889,0.1,5,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s07_hx_pa_400_39070751__WY2017__r4,mid_E2_B,daily_level,mid_E2_B_s07_hx_pa_400_39070751__WY2017,2017-03-07,2017-09-30,208,-2.168195861759792,0.21799029857536906,4,0.6151210777695343,0.021261720202769608,9,consistent_with_nonstationarity,none
mid_E2_B__daily_level__mid_E2_B_s07_hx_pa_400_39070751__WY2018__r3,mid_E2_B,daily_level,mid_E2_B_s07_hx_pa_400_39070751__WY2018,2018-03-19,2018-09-24,190,-2.1739941090241146,0.21581910018772793,10,1.6101779042784572,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_P1__daily_first_difference__mid_P1_s01_usgs5_depth_1_79m__r18,mid_P1,daily_first_difference,mid_P1_s01_usgs5_depth_1_79m,2004-08-12,2005-09-30,415,-6.642629515183956,5.362177158860341e-09,7,0.17260134520136078,0.1,6,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_P1__daily_first_difference__mid_P1_s02_usgsct2_depth_1_82m__r9,mid_P1,daily_first_difference,mid_P1_s02_usgsct2_depth_1_82m,2015-07-05,2018-09-24,1178,-7.5637137835561505,2.963568119790863e-11,21,0.0491256800124377,0.1,27,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_P1__daily_level__mid_P1_s01_usgs5_depth_1_79m__r18,mid_P1,daily_level,mid_P1_s01_usgs5_depth_1_79m,2004-08-11,2005-09-30,416,-1.6515373632175423,0.4562387679594099,8,0.7251271172350984,0.011261171160445602,12,consistent_with_nonstationarity,none
mid_P1__daily_level__mid_P1_s02_usgsct2_depth_1_82m__r10,mid_P1,daily_level,mid_P1_s02_usgsct2_depth_1_82m,2015-07-04,2018-09-24,1179,-2.7277848536995943,0.069352442929008,19,0.3398817954491747,0.1,20,tests_disagree_or_are_inconclusive,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_P2__daily_first_difference__mid_P2_s01_usgs6_depth_3_69m__r29,mid_P2,daily_first_difference,mid_P2_s01_usgs6_depth_3_69m,2015-07-05,2018-09-25,1179,-6.656035205357986,4.981607041255819e-09,6,0.11533340355741799,0.1,3,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_P2__daily_level__mid_P2_s01_usgs6_depth_3_69m__r30,mid_P2,daily_level,mid_P2_s01_usgs6_depth_3_69m,2015-07-04,2018-09-25,1180,-1.885300336203164,0.3390075790749105,7,0.4270808553798418,0.06548238992248198,20,tests_disagree_or_are_inconclusive,none
mid_R__daily_cumulative_difference__mid_R_s01_pre_fire__r11,mid_R,daily_cumulative_difference,mid_R_s01_pre_fire,2000-12-16,2001-09-30,289,-2.832464237144616,0.05378402702998874,13,0.8975449387969128,0.01,7,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_difference__mid_R_s02_post_fire__r12,mid_R,daily_cumulative_difference,mid_R_s02_post_fire,2007-10-02,2008-09-30,365,-10.25043658615856,4.500530074697846e-18,1,0.8129706706957788,0.01,7,tests_disagree_or_are_inconclusive,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_difference__mid_R_s03_post_mechanical_failure__r1,mid_R,daily_cumulative_difference,mid_R_s03_post_mechanical_failure,2016-01-29,2016-09-30,246,-3.3203144027316607,0.013994483049352583,7,1.2870227761496433,0.01,6,tests_disagree_or_are_inconclusive,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
