product_type,sensor_id,measurement_role,installation_segment_id,missing_interval_count,gap_duration_hours,gap_count
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,16,4.0,4
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,17,4.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,18,4.5,2
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,19,4.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,21,5.25,3
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,22,5.5,4
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,23,5.75,2
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,27,6.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,29,7.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,31,7.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,32,8.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,33,8.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,35,8.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,36,9.0,3
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,37,9.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,38,9.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,39,9.75,4
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,41,10.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,43,10.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,45,11.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,49,12.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,52,13.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,53,13.25,3
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,57,14.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,59,14.75,2
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,61,15.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,62,15.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,64,16.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,66,16.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,67,16.75,3
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,68,17.0,6
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,69,17.25,2
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,70,17.5,4
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,72,18.0,2
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,73,18.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,74,18.5,3
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,77,19.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,80,20.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,83,20.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,85,21.25,2
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,91,22.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,95,23.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,96,24.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,106,26.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,137,34.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,150,37.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,151,37.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,153,38.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,230,57.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,238,59.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,239,59.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,251,62.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,254,63.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,260,65.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,273,68.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,282,70.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,350,87.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,377,94.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,1417,354.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,1608,402.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,2495,623.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,4187,1046.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,8046,2011.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,1,0.25,1608
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,2,0.5,55
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,3,0.75,14
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,4,1.0,13
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,5,1.25,8
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,7,1.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,8,2.0,2
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,12,3.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,13,3.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,25,6.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,29,7.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,30,7.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,36,9.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,41,10.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,53,13.25,2
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,79,19.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,88,22.0,2
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,96,24.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,97,24.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,130,32.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,132,33.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,135,33.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,213,53.25,2
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,237,59.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,265,66.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,403,100.75,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,430,107.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,472,118.0,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,666,166.5,1
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,4053,1013.25,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,1,0.25,306
15_minute,mid_P1,15_minute_observation,outside_documented_operation,2,0.5,7
15_minute,mid_P1,15_minute_observation,outside_documented_operation,4,1.0,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,7,1.75,2
15_minute,mid_P1,15_minute_observation,outside_documented_operation,19,4.75,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,44,11.0,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,45,11.25,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,55,13.75,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,62,15.5,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,71,17.75,1
15_minute,mid_P1,15_minute_observation,outside_documented_operation,80,20.0,1
