run_id,sensor_id,transformation,scope_id,start_date,end_date,n,lag_days,maximum_lag_days,acf,pacf,approximate_95_percent_bound
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,13,60,0.4263248724709429,-0.09616582747484964,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,14,60,0.4276881433378025,0.07770144718498244,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,15,60,0.41583759890287336,0.021038453270061968,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,16,60,0.38729876618046877,-0.056551859061762036,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,17,60,0.3616775998755314,0.022181356011019858,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,18,60,0.31323054602543715,-0.10165372854835646,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,19,60,0.26130265568602057,-0.07286377541939257,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,20,60,0.21493123230230557,-0.06704375149863682,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,21,60,0.20956078804065784,-0.010305932241377292,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,22,60,0.1989574903185386,0.011303340433888052,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,23,60,0.16849369774600617,-0.07099857817246251,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,24,60,0.1694974306573871,0.07267270906082461,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,25,60,0.18386677776759552,0.1432087617215099,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,26,60,0.15517203920608966,-0.030047324375663587,0.11671630149838108
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,27,60,0.11133626893109315,-0.041013641605212627,0.11671630149838108
