run_id,window_id,target_id,segment_id,water_year,run_start_date,run_end_date,run_length_days,method,setting,minimum_segment_length_days,candidate_date,candidate_index
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-02-19,2009-09-30,224,Binseg_l2,n_bkps_2,30,2009-03-21,30
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-02-19,2009-09-30,224,Binseg_l2,n_bkps_2,30,2009-08-31,193
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-02-19,2009-09-30,224,Binseg_l2,n_bkps_3,30,2009-03-21,30
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-02-19,2009-09-30,224,Binseg_l2,n_bkps_3,30,2009-05-04,74
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2009__r3,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2009,2009-02-19,2009-09-30,224,Binseg_l2,n_bkps_3,30,2009-08-31,193
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,PELT_l2,multiplier_1_penalty_2.88915059391,30,2010-04-22,89
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,PELT_l2,multiplier_1_penalty_2.88915059391,30,2010-06-03,131
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,PELT_l2,multiplier_2_penalty_5.77830118783,30,2010-04-22,89
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,PELT_l2,multiplier_2_penalty_5.77830118783,30,2010-06-03,131
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,Binseg_l2,n_bkps_1,30,2010-06-04,132
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,Binseg_l2,n_bkps_2,30,2010-04-22,89
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,Binseg_l2,n_bkps_2,30,2010-06-04,132
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,Binseg_l2,n_bkps_3,30,2010-03-05,41
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,Binseg_l2,n_bkps_3,30,2010-04-22,89
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2010__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2010,2010-01-23,2010-09-30,251,Binseg_l2,n_bkps_3,30,2010-06-04,132
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2011-10-02,2012-05-15,227,Binseg_l2,n_bkps_1,30,2012-04-14,195
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2011-10-02,2012-05-15,227,Binseg_l2,n_bkps_2,30,2012-03-11,161
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2011-10-02,2012-05-15,227,Binseg_l2,n_bkps_2,30,2012-04-14,195
