window_id,target_id,window_role,stage,model_id,model_family,horizon_days,forecast_count,lag_in_origin_sequence,residual_acf,residual_bias,residual_skewness,residual_excess_kurtosis,median_absolute_error,q95_absolute_error,ljung_box_lag,ljung_box_statistic,ljung_box_p_value,ljung_box_caveat
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,72,4,0.06333341562379734,-0.07773949455308835,-0.3774661572874998,1.7778306955057523,0.09755026543688583,0.4844626730467092,10,3.056402767940376,0.9800653551934491,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,72,5,0.06797007555158721,-0.07773949455308835,-0.3774661572874998,1.7778306955057523,0.09755026543688583,0.4844626730467092,10,3.056402767940376,0.9800653551934491,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,72,6,0.021561183203316008,-0.07773949455308835,-0.3774661572874998,1.7778306955057523,0.09755026543688583,0.4844626730467092,10,3.056402767940376,0.9800653551934491,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,72,7,-0.04787981419168312,-0.07773949455308835,-0.3774661572874998,1.7778306955057523,0.09755026543688583,0.4844626730467092,10,3.056402767940376,0.9800653551934491,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,72,8,0.05053571500279237,-0.07773949455308835,-0.3774661572874998,1.7778306955057523,0.09755026543688583,0.4844626730467092,10,3.056402767940376,0.9800653551934491,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,72,9,-0.024236880385582957,-0.07773949455308835,-0.3774661572874998,1.7778306955057523,0.09755026543688583,0.4844626730467092,10,3.056402767940376,0.9800653551934491,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,72,10,-0.056104837541550524,-0.07773949455308835,-0.3774661572874998,1.7778306955057523,0.09755026543688583,0.4844626730467092,10,3.056402767940376,0.9800653551934491,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_arma11,ARIMA,1,76,0,1.0,-0.023782784805028954,0.7619248499831343,3.931454936747727,0.12012419258935167,0.43284775713526213,10,15.574434487317344,0.11248004683017994,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_arma11,ARIMA,1,76,1,0.08320146489714057,-0.023782784805028954,0.7619248499831343,3.931454936747727,0.12012419258935167,0.43284775713526213,10,15.574434487317344,0.11248004683017994,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_arma11,ARIMA,1,76,2,0.2531114588650239,-0.023782784805028954,0.7619248499831343,3.931454936747727,0.12012419258935167,0.43284775713526213,10,15.574434487317344,0.11248004683017994,approximate_with_skipped_origins_overlap_selection_and_heavy_tails
