window_id,target_id,stage,model_id,model_family,horizon_days,status,attempt_count,fraction_of_scheduled_attempts
toe_pre_topple_long,toe_E5_C,evaluation,persistence,baseline,2,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,persistence,baseline,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,persistence,baseline,7,ok,72,0.9
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,1,feature_unavailable,6,0.075
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,1,ok,70,0.875
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,2,feature_unavailable,5,0.0625
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,2,ok,71,0.8875
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,7,feature_unavailable,6,0.075
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,prior_year_same_date,baseline,7,ok,66,0.825
toe_pre_topple_long,toe_E5_C,evaluation,zero_change,baseline,1,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,zero_change,baseline,1,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,zero_change,baseline,2,ineligible_core_origin,4,0.05
toe_pre_topple_long,toe_E5_C,evaluation,zero_change,baseline,2,ok,76,0.95
toe_pre_topple_long,toe_E5_C,evaluation,zero_change,baseline,7,ineligible_core_origin,8,0.1
toe_pre_topple_long,toe_E5_C,evaluation,zero_change,baseline,7,ok,72,0.9
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,1,fit_failure,2,0.015037593984962405
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,1,ok,120,0.9022556390977443
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,2,fit_failure,2,0.015037593984962405
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,2,ok,119,0.8947368421052632
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,7,fit_failure,2,0.015037593984962405
