window_id,target_id,stage,model_id,horizon_days,dimension,group_value,forecast_count,mae,rmse,bias,mase
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,1,water_year,2008,21,0.1531312244843852,0.2025262296105904,0.02641672757121673,0.5523419322406836
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,1,water_year,2009,26,0.26408667353791193,0.3616037461942017,-0.09704618716097871,1.0211671854894142
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,1,water_year,2010,24,0.48972170864761644,1.2833293792988332,0.37072880577738854,1.792450007905648
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,1,water_year,2011,21,0.7358699005270983,1.7792288559011782,0.5567644315772342,2.3668526899896967
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,1,water_year,2012,21,0.21507219769522437,0.3697860787070528,-0.018352048403055397,0.6435882107900397
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,1,water_year,2013,6,0.28745761120668173,0.3277241664954394,-0.10517500799185976,0.8798766943837656
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,2,water_year,2008,20,0.17736835176851656,0.22917891891744324,-0.010755147117233552,0.6409674240098052
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,2,water_year,2009,26,0.2472947314549773,0.4705380682592272,-0.10688367764220884,0.9587729479630384
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,2,water_year,2010,24,0.29778409478970236,0.536650670412707,0.10713199329660779,1.1196150439500465
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,2,water_year,2011,21,1.028935539261541,3.009075326328122,0.633654545395051,3.2726181649965
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,2,water_year,2012,20,0.22432825928586206,0.33964082568664145,-0.11874362731988122,0.6705578398577237
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,2,water_year,2013,6,0.22597437843626786,0.28825939654934496,-0.01885156755965366,0.6917994257263066
toe_pre_topple_long,toe_E5_C,selection,expanding_median,1,water_year,2008,21,0.14523809523809525,0.19910514092523363,0.021428571428571415,0.5242844307205661
toe_pre_topple_long,toe_E5_C,selection,expanding_median,1,water_year,2009,26,0.25384615384615383,0.35626265159721265,-0.09230769230769229,0.9818604907302055
toe_pre_topple_long,toe_E5_C,selection,expanding_median,1,water_year,2010,25,0.5119999999999999,1.4413882197381798,0.40800000000000014,1.8711264255409918
toe_pre_topple_long,toe_E5_C,selection,expanding_median,1,water_year,2011,21,1.0904761904761904,2.558366294188169,1.0047619047619047,3.4393179926798325
toe_pre_topple_long,toe_E5_C,selection,expanding_median,1,water_year,2012,23,0.1826086956521739,0.31484986069968124,0.026086956521739126,0.5473589288833389
toe_pre_topple_long,toe_E5_C,selection,expanding_median,1,water_year,2013,6,0.13333333333333333,0.19999999999999996,-0.06666666666666665,0.4079560361378414
toe_pre_topple_long,toe_E5_C,selection,expanding_median,2,water_year,2008,20,0.1775,0.2304886114323222,-0.012500000000000011,0.6413566242097731
toe_pre_topple_long,toe_E5_C,selection,expanding_median,2,water_year,2009,26,0.23653846153846156,0.4617067001063304,-0.09423076923076924,0.9169872499758862
toe_pre_topple_long,toe_E5_C,selection,expanding_median,2,water_year,2010,25,0.3200000000000003,0.5851495535331114,0.08799999999999968,1.2091864228832832
toe_pre_topple_long,toe_E5_C,selection,expanding_median,2,water_year,2011,21,1.204761904761906,3.4371222736192455,0.9571428571428572,3.802959352534444
toe_pre_topple_long,toe_E5_C,selection,expanding_median,2,water_year,2012,23,0.09130434782608698,0.1429502801980313,0.004347826086956518,0.27347262307515097
toe_pre_topple_long,toe_E5_C,selection,expanding_median,2,water_year,2013,6,0.10000000000000002,0.14142135623730953,0.033333333333333354,0.30604628536081946
toe_pre_topple_long,toe_E5_C,selection,expanding_median,7,water_year,2008,20,0.18499999999999994,0.2837252191822221,-0.075,0.6654682607301368
toe_pre_topple_long,toe_E5_C,selection,expanding_median,7,water_year,2009,25,0.15200000000000002,0.20784609690826528,-0.04,0.5910333236879928
toe_pre_topple_long,toe_E5_C,selection,expanding_median,7,water_year,2010,25,0.2800000000000005,0.6881860213634102,0.18400000000000014,1.0595529916157673
toe_pre_topple_long,toe_E5_C,selection,expanding_median,7,water_year,2011,20,1.229999999999999,3.1868479725270866,1.2100000000000004,3.878142795818684
toe_pre_topple_long,toe_E5_C,selection,expanding_median,7,water_year,2012,20,0.13999999999999999,0.19748417658131498,-0.009999999999999998,0.41777150577777994
toe_pre_topple_long,toe_E5_C,selection,expanding_median,7,water_year,2013,5,0.13999999999999996,0.20493901531919193,-0.059999999999999984,0.4285198728291082
toe_pre_topple_long,toe_E5_C,selection,persistence,1,water_year,2008,21,0.2619047619047619,0.30667184260642366,-0.009523809523809572,0.9399368815210551
toe_pre_topple_long,toe_E5_C,selection,persistence,1,water_year,2009,26,0.2538461538461539,0.3293349942862715,-0.13076923076923078,0.9852468132203287
toe_pre_topple_long,toe_E5_C,selection,persistence,1,water_year,2010,25,0.3120000000000007,0.6596969000988259,0.12000000000000015,1.1487508720443158
toe_pre_topple_long,toe_E5_C,selection,persistence,1,water_year,2011,21,0.7071428571428561,1.6041983608495483,0.3833333333333326,2.2834369831630323
toe_pre_topple_long,toe_E5_C,selection,persistence,1,water_year,2012,23,0.2782608695652174,0.4333890711087691,0.03478260869565216,0.8337066557209667
toe_pre_topple_long,toe_E5_C,selection,persistence,1,water_year,2013,6,0.3666666666666667,0.42426406871192857,-0.09999999999999998,1.1224299710985324
toe_pre_topple_long,toe_E5_C,selection,persistence,2,water_year,2008,20,0.23499999999999996,0.3372684390808011,-0.03500000000000005,0.8466507038359685
toe_pre_topple_long,toe_E5_C,selection,persistence,2,water_year,2009,26,0.2826923076923077,0.4892105099820762,-0.1326923076923077,1.097386327053857
toe_pre_topple_long,toe_E5_C,selection,persistence,2,water_year,2010,25,0.3360000000000006,0.5051732376126041,-0.2000000000000002,1.2694862408731937
toe_pre_topple_long,toe_E5_C,selection,persistence,2,water_year,2011,21,1.0452380952381013,2.537738963648361,0.3357142857142851,3.326209744614326
toe_pre_topple_long,toe_E5_C,selection,persistence,2,water_year,2012,23,0.2391304347826087,0.3407153599733055,0.013043478260869563,0.7149405317423768
toe_pre_topple_long,toe_E5_C,selection,persistence,2,water_year,2013,6,0.3333333333333333,0.47609522856952335,1.850371707708594e-17,1.020634200127761
toe_pre_topple_long,toe_E5_C,selection,persistence,7,water_year,2008,20,0.29250000000000004,0.3709784360309909,-0.09750000000000004,1.0534771089986357
toe_pre_topple_long,toe_E5_C,selection,persistence,7,water_year,2009,25,0.22399999999999998,0.282842712474619,-0.08800000000000001,0.8701802535527726
toe_pre_topple_long,toe_E5_C,selection,persistence,7,water_year,2010,25,0.5360000000000013,1.0829589096544714,-0.10399999999999977,1.9873610220498799
toe_pre_topple_long,toe_E5_C,selection,persistence,7,water_year,2011,20,0.9374999999999986,2.084136511843694,0.5574999999999998,2.9870782375937424
toe_pre_topple_long,toe_E5_C,selection,persistence,7,water_year,2012,20,0.28,0.3535533905932738,0.009999999999999986,0.8350234498091609
toe_pre_topple_long,toe_E5_C,selection,persistence,7,water_year,2013,5,0.5,0.5310367218940701,-0.1,1.5308583911873366
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,1,water_year,2008,21,0.26428571428571435,0.304138126514911,0.021428571428571425,0.9526397507799179
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,1,water_year,2009,26,0.34423076923076923,0.4297808028071268,-0.1634615384615385,1.3301279894060412
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,1,water_year,2010,25,0.5440000000000004,1.4170391667134679,0.36800000000000005,1.996413617656776
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,1,water_year,2011,20,1.0699999999999987,2.5774017925034514,0.8500000000000002,3.3595840894920577
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,1,water_year,2012,19,1.7815789473684216,4.1879055184637295,-0.9815789473684178,5.351900729273848
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,1,water_year,2013,6,0.1333333333333333,0.2581988897471611,-0.1333333333333333,0.4078210521538255
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,2,water_year,2008,20,0.28250000000000003,0.36623080154459975,-0.027500000000000045,1.0254039157417087
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,2,water_year,2009,26,0.34230769230769226,0.5685677011308599,-0.0769230769230769,1.3244511630609208
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,2,water_year,2010,25,0.35200000000000015,0.6311893535223796,0.17599999999999966,1.318105271376052
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,2,water_year,2011,21,1.2619047619047674,3.4430744843470813,0.7380952380952381,3.9472007945204117
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,2,water_year,2012,19,0.9368421052631587,1.7537928822082174,-0.894736842105264,2.812692276849597
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,2,water_year,2013,6,0.13333333333333333,0.19999999999999998,-0.06666666666666665,0.407974588587723
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,7,water_year,2008,19,0.2736842105263158,0.38797721039962346,-0.07368421052631577,0.9934293694949589
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,7,water_year,2009,25,0.24800000000000005,0.3274141108748981,-0.04800000000000001,0.9611884168088077
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,7,water_year,2010,25,0.3300000000000004,0.7142128534267638,0.1220000000000001,1.2642877145881297
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,7,water_year,2011,20,1.2949999999999966,3.2772702055216625,1.1750000000000005,4.091149184566813
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,7,water_year,2012,19,0.9236842105263141,2.2317387604145833,-0.7657894736842087,2.774231865662132
toe_pre_topple_long,toe_E5_C,selection,prior_year_same_date,7,water_year,2013,5,0.13999999999999996,0.16124515496597094,0.020000000000000018,0.4285659977730008
toe_pre_topple_long,toe_E5_C,selection,zero_change,1,water_year,2008,21,0.14523809523809525,0.19910514092523363,0.021428571428571415,0.5242844307205661
toe_pre_topple_long,toe_E5_C,selection,zero_change,1,water_year,2009,26,0.25384615384615383,0.35626265159721265,-0.09230769230769229,0.9818604907302055
toe_pre_topple_long,toe_E5_C,selection,zero_change,1,water_year,2010,25,0.5119999999999999,1.4413882197381798,0.40800000000000014,1.8711264255409918
toe_pre_topple_long,toe_E5_C,selection,zero_change,1,water_year,2011,21,1.0904761904761904,2.558366294188169,1.0047619047619047,3.4393179926798325
toe_pre_topple_long,toe_E5_C,selection,zero_change,1,water_year,2012,23,0.1826086956521739,0.31484986069968124,0.026086956521739126,0.5473589288833389
toe_pre_topple_long,toe_E5_C,selection,zero_change,1,water_year,2013,6,0.13333333333333333,0.19999999999999996,-0.06666666666666665,0.4079560361378414
toe_pre_topple_long,toe_E5_C,selection,zero_change,2,water_year,2008,20,0.1775,0.2304886114323222,-0.012500000000000011,0.6413566242097731
toe_pre_topple_long,toe_E5_C,selection,zero_change,2,water_year,2009,26,0.23653846153846156,0.4617067001063304,-0.09423076923076924,0.9169872499758862
toe_pre_topple_long,toe_E5_C,selection,zero_change,2,water_year,2010,25,0.3200000000000003,0.5851495535331114,0.08799999999999968,1.2091864228832832
toe_pre_topple_long,toe_E5_C,selection,zero_change,2,water_year,2011,21,1.204761904761906,3.4371222736192455,0.9571428571428572,3.802959352534444
toe_pre_topple_long,toe_E5_C,selection,zero_change,2,water_year,2012,23,0.09130434782608698,0.1429502801980313,0.004347826086956518,0.27347262307515097
toe_pre_topple_long,toe_E5_C,selection,zero_change,2,water_year,2013,6,0.10000000000000002,0.14142135623730953,0.033333333333333354,0.30604628536081946
toe_pre_topple_long,toe_E5_C,selection,zero_change,7,water_year,2008,20,0.18499999999999994,0.2837252191822221,-0.075,0.6654682607301368
toe_pre_topple_long,toe_E5_C,selection,zero_change,7,water_year,2009,25,0.15200000000000002,0.20784609690826528,-0.04,0.5910333236879928
toe_pre_topple_long,toe_E5_C,selection,zero_change,7,water_year,2010,25,0.2800000000000005,0.6881860213634102,0.18400000000000014,1.0595529916157673
toe_pre_topple_long,toe_E5_C,selection,zero_change,7,water_year,2011,20,1.229999999999999,3.1868479725270866,1.2100000000000004,3.878142795818684
toe_pre_topple_long,toe_E5_C,selection,zero_change,7,water_year,2012,20,0.13999999999999999,0.19748417658131498,-0.009999999999999998,0.41777150577777994
toe_pre_topple_long,toe_E5_C,selection,zero_change,7,water_year,2013,5,0.13999999999999996,0.20493901531919193,-0.059999999999999984,0.4285198728291082
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,1,water_year,2016,18,0.18486853805293377,0.29327449006140427,-0.08074765262769897,0.6382703935156488
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,1,water_year,2017,8,0.18747758165459577,0.23767771964728074,0.0738784636109022,0.6516984812265167
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,2,water_year,2016,18,0.18729461819184146,0.25383100208534015,0.011510732906504654,0.6472878999265623
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,2,water_year,2017,8,0.4302624794038873,0.666669737347049,0.4116352237540428,1.4930311736419777
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,7,water_year,2016,18,0.15534957962319837,0.2154212133835782,-0.05917416400066874,0.5345331485041489
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,7,water_year,2017,7,0.5018055714032797,0.7408600129938219,0.2401687908872169,1.744318215927063
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,1,water_year,2016,18,0.1861029639804689,0.2997165851281702,-0.07817417826935719,0.6424988740482912
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,1,water_year,2017,8,0.20576333945511124,0.3431354155671687,-0.08926180783030942,0.7126673788681085
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,2,water_year,2016,18,0.18825100050016952,0.27306189831111216,0.02535632278721597,0.6509359595377506
