window_id,target_id,stage,model_id,parameter,fit_count,median,q25,q75,minimum,maximum,converged_fraction
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ar.L1,85,0.6647451764647392,0.007135171201769914,0.7037225096189711,-0.05943340981974182,0.8082737271856529,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,ar.L2,85,0.16894413295321414,-0.027415543038173184,0.18091185314015373,-0.05170704095797287,0.22417483336590735,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,intercept,85,0.014992325486248535,-0.003660919626449938,0.01747155052059239,-0.005560855314691809,0.025147779302851832,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar2,sigma2,85,0.14117086094204842,0.021993814578448116,0.16041440119811287,0.01789109811113867,0.20323926250126206,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ar.L1,85,0.9296615859442653,0.0035423423074106898,0.9307937172568718,-0.8645339794805126,0.9931864651363204,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,intercept,85,0.007717393425851277,-0.0032427493086825197,0.009952224852529076,-0.007819344923372794,0.013338977751627106,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,ma.L1,85,-0.302325985341471,-0.34839793777916617,-0.003222821856550147,-0.9130727979447031,0.8848006475812268,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_arma11,sigma2,85,0.13759826199534358,0.022038687254072986,0.15699319130734937,0.017853950715308212,0.19975760918687605,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,intercept,85,0.10334572442951419,-0.00342261907751366,0.13145539609023188,-0.005168986083834829,0.1730337044545939,0.9647058823529412
middle_stable_2009_2016,mid_E2_B,selection,arima_mean,sigma2,85,0.48157748461233135,0.02204087601606879,0.5976302669934443,0.017947143287323986,0.7985475639207102,0.9647058823529412
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,ar.L1,76,0.7596607465953344,0.7563705576044034,0.7633492191182919,0.7509732825114932,0.7709501690966678,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,intercept,76,0.026615584664200748,0.024592161413491635,0.028744331421905106,0.022926822168927233,0.03152113073275795,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar1,sigma2,76,0.3560819162947596,0.3303618892796134,0.3850501799670202,0.31059759817716964,0.4186423966199936,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ar.L1,76,0.5493549057056635,0.545491303143765,0.5523045318230752,0.5404176701715714,0.5584914710259359,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,ar.L2,76,0.27601842696658463,0.2751063890677596,0.2777841827999846,0.273137218090427,0.2794750728483527,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,intercept,76,0.01910881163825814,0.01759795134471584,0.020631856478688797,0.016329645782514494,0.022667613122720844,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_ar2,sigma2,76,0.32904616046180446,0.3049286489337237,0.355951441472593,0.28641135800676837,0.38706505704312116,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ar.L1,76,0.960236713335308,0.9599499140065735,0.9606251739490346,0.9595716476968326,0.9609119159747257,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,intercept,76,0.004257730041777979,0.0038540982529846404,0.004700409047751923,0.0034841893168913183,0.005386822770620917,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,ma.L1,76,-0.591631573562491,-0.5961511582024784,-0.5869176445273568,-0.6021414508569863,-0.5778347371903422,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_arma11,sigma2,76,0.3024180577469862,0.27990854121855613,0.32794858659248954,0.2625810433852789,0.35738204410147056,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,intercept,76,0.11369306360597328,0.10342521372367032,0.12560730305762524,0.09469578612890531,0.14154205607476633,0.9210526315789473
toe_pre_topple_long,toe_E5_C,evaluation,arima_mean,sigma2,76,0.8527098756358051,0.7810698317103033,0.9380004926732973,0.7208766957444748,1.0455336033714735,0.9210526315789473
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,ar.L1,80,0.750008667843101,0.7471136645708247,0.7551201488017932,0.742349106566459,0.7605499516804255,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,constant,80,0.001892130506092327,0.0005907826781698883,0.002923261820453392,-0.0007188806258683163,0.0044343576950094865,1.0
toe_pre_topple_long,toe_E5_C,evaluation,arimax_ar1_rain_lag2,rain_lag2,80,0.010333822511270685,0.01018630441125154,0.010810989213621724,0.009818958578488468,0.01102327100627798,1.0
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ar.L1,122,0.0468408640149694,-0.059183319600998624,0.7744042952839801,-0.11275371990786391,0.7963079317075422,0.9836065573770492
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,intercept,122,0.011367252699961795,0.0054719862192660305,0.0333742994949564,0.0024176552498990124,0.04027151508995521,0.9836065573770492
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,sigma2,122,0.09617142558228992,0.07133590922297464,0.43858777442643027,0.06650988917092512,0.5286420317597171,0.9836065573770492
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ar.L1,122,0.049880124250575586,-0.0686504476291663,0.559921863716158,-0.13580334329425292,0.5703747419662458,0.9754098360655737
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ar.L2,122,-0.13295066113119008,-0.16230866466480603,0.27336137311893083,-0.21180624377424906,0.3151216438987117,0.9754098360655737
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,intercept,122,0.012118142795514913,0.006139454384039445,0.024038191883672764,0.0028733962741284095,0.029254350336986194,0.9754098360655737
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,sigma2,122,0.09361521817442081,0.06937789054445723,0.40541592981050784,0.06474999765341369,0.48768666573247244,0.9754098360655737
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ar.L1,122,0.7764768828245133,0.7447146141009555,0.9598843911436222,-0.35648806992734466,0.9979271693702715,0.9836065573770492
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,intercept,122,0.0025184306134671723,0.0012624759418247504,0.006666366251219302,0.0007327589984762606,0.027065435435547333,0.9836065573770492
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ma.L1,122,-0.7905247766698718,-0.9094974525503763,-0.5693734811834023,-0.9179413032169971,0.47197537681123497,0.9836065573770492
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,sigma2,122,0.09373860060776995,0.06817165911290293,0.37469677357489484,0.06352057665205903,0.45307681746157774,0.9836065573770492
toe_pre_topple_long,toe_E5_C,selection,arima_mean,intercept,122,0.01203861866822736,0.005188998533495904,0.15188182851343895,0.002263648371486699,0.1889097744360902,0.9180327868852459
toe_pre_topple_long,toe_E5_C,selection,arima_mean,sigma2,122,0.09695384449113947,0.07160201283653606,1.108050051165189,0.0665753920659534,1.38154530823215,0.9180327868852459
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,ar.L1,133,0.302093268705583,-0.035532194296107295,0.7619118638377977,-0.11000407407593181,0.7812897695116832,1.0
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,constant,133,-0.0034921960172026633,-0.005248551932315687,0.0044552819936719895,-0.01805458941197011,0.007854066953416845,1.0
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,rain_lag2,133,0.00929482511431487,0.004580012196416774,0.012121954432849691,0.0036084480727941806,0.013491988942387345,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,ar.L1,26,0.7479572182903075,0.7467956926931681,0.7493051003578061,0.745057939149258,0.7584966427068252,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,intercept,26,0.022142926336258698,0.021622690126373394,0.02271075971679409,0.02120978864642747,0.023844669399935077,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar1,sigma2,26,0.2989178080973904,0.2939779791231035,0.3045404504086544,0.2896177795650043,0.31030931420977287,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,ar.L1,26,0.5383126500956168,0.53775009914292,0.5396289257643092,0.5360301670481824,0.5478144388524996,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,ar.L2,26,0.27899285772687293,0.27862830107091013,0.2793867483516811,0.27785085090113115,0.28189717954661286,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,intercept,26,0.015821452560495282,0.015450482058285687,0.016234682699497703,0.015051207922897053,0.017436940458329865,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,sigma2,26,0.27570993609153127,0.27115729316131904,0.2808985919964635,0.26707160078245634,0.28615378403567293,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,ar.L1,26,0.9610085868180372,0.9609309547251249,0.9610929839948281,0.9608920470727241,0.9649502655204957,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,intercept,26,0.0033305920721230673,0.0032500944836010995,0.0034367782810667213,0.0031048847603335436,0.004450631798603311,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,ma.L1,26,-0.6055785579504402,-0.6070407598554919,-0.6039517590080463,-0.6080448894926398,-0.589436098443992,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,sigma2,26,0.25305744774790895,0.24814100366664296,0.25733423565234576,0.24442868345306099,0.26227323234031397,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,intercept,26,0.09018710413324382,0.08779546836309055,0.0928020192527754,0.08607415755635356,0.09783768234495745,0.9230769230769231
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,sigma2,26,0.6879438899162245,0.6719857014536994,0.7033041753115981,0.6577725433667096,0.7194005765567488,0.9230769230769231
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arimax_ar1_rain_lag2,ar.L1,30,0.7399505695912579,0.7390705460073242,0.7416095702140689,0.7382459278004391,0.7610428771032156,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arimax_ar1_rain_lag2,constant,30,-0.0015833806464584123,-0.0016639866195620901,-0.0009852606140704487,-0.0017633332416940545,0.0024467385429521936,1.0
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arimax_ar1_rain_lag2,rain_lag2,30,0.009665424001992773,0.009491152366155386,0.009687170427286618,0.008179704885828532,0.009845286916856377,1.0
