window_id,target_id,window_role,stage,model_id,model_family,horizon_days,nominal_level,point_forecast_count,interval_forecast_count,interval_availability_fraction,empirical_coverage,average_width,mean_winkler_score
middle_stable_2009_2016,mid_E2_B,primary,selection,zero_change,baseline,2,0.8,85,55,0.6470588235294118,0.8909090909090909,0.5360000000000043,0.5923636363636424
middle_stable_2009_2016,mid_E2_B,primary,selection,zero_change,baseline,7,0.8,81,51,0.6296296296296297,0.8627450980392157,0.5274509803921622,0.6490196078431433
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar1,ARIMA,1,0.8,76,76,1.0,0.9736842105263158,1.533696817823922,1.6543975305786296
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar1,ARIMA,2,0.8,76,76,1.0,0.9605263157894737,1.9267748651167649,2.122389914199921
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar1,ARIMA,7,0.8,72,72,1.0,1.0,2.3400280277807726,2.3400280277807726
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,1,0.8,76,76,1.0,0.9736842105263158,1.474110593443634,1.5477806872776063
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,2,0.8,76,76,1.0,0.9605263157894737,1.6820418523601095,1.9334033290271573
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_ar2,ARIMA,7,0.8,72,72,1.0,1.0,2.2190569016233876,2.2190569016233876
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_arma11,ARIMA,1,0.8,76,76,1.0,0.9736842105263158,1.4135605900475545,1.453646390841669
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_arma11,ARIMA,2,0.8,76,76,1.0,0.9605263157894737,1.506989768860178,1.748336864909383
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_arma11,ARIMA,7,0.8,72,72,1.0,1.0,1.8325523409674078,1.8325523409674078
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_mean,ARIMA,1,0.8,70,70,1.0,1.0,2.3792057775842705,2.3792057775842705
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_mean,ARIMA,2,0.8,70,70,1.0,0.9857142857142858,2.3792057775842705,2.4837300859541815
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arima_mean,ARIMA,7,0.8,66,66,1.0,1.0,2.3836326753213726,2.3836326753213726
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,1,0.8,75,75,1.0,0.9733333333333334,1.5353020307805592,1.6271824437655542
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,arimax_ar1_rain_lag2,conditional_ARIMAX,2,0.8,75,75,1.0,0.9733333333333334,1.91965078465974,2.0935479877857093
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,expanding_median,baseline,1,0.8,76,76,1.0,0.9210526315789473,0.5971052631578904,0.7378947368421046
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,expanding_median,baseline,2,0.8,76,76,1.0,0.868421052631579,0.5796052631579043,1.1092105263157903
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,expanding_median,baseline,7,0.8,72,72,1.0,0.875,0.4000000000000001,0.7194444444444446
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,persistence,baseline,1,0.8,76,76,1.0,0.868421052631579,0.7999999999999998,1.168421052631579
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,persistence,baseline,2,0.8,76,76,1.0,0.8552631578947368,0.8259868421052711,1.6167763157894794
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,persistence,baseline,7,0.8,72,72,1.0,0.875,0.8298611111111118,1.1493055555555562
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,prior_year_same_date,baseline,1,0.8,70,70,1.0,0.8714285714285714,0.8084285714285718,1.1227142857142862
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,prior_year_same_date,baseline,2,0.8,71,71,1.0,0.8732394366197183,0.9697183098591573,1.3218309859154933
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,prior_year_same_date,baseline,7,0.8,66,66,1.0,0.8939393939393939,0.8022727272727276,1.0901515151515153
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,zero_change,baseline,1,0.8,76,76,1.0,0.9210526315789473,0.5971052631578904,0.7378947368421046
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,zero_change,baseline,2,0.8,76,76,1.0,0.868421052631579,0.5796052631579043,1.1092105263157903
toe_pre_topple_long,toe_E5_C,secondary_primary_window,evaluation,zero_change,baseline,7,0.8,72,72,1.0,0.875,0.4000000000000001,0.7194444444444446
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_ar1,ARIMA,1,0.8,120,120,1.0,0.85,1.0958939063158113,2.7831382487306717
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_ar1,ARIMA,2,0.8,119,119,1.0,0.8319327731092437,1.2657921581403582,3.050005905312753
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_ar1,ARIMA,7,0.8,113,113,1.0,0.9026548672566371,1.4138742086189091,3.2838589230310946
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_ar2,ARIMA,1,0.8,119,119,1.0,0.8403361344537815,1.0718456141023782,2.592876738954901
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_ar2,ARIMA,2,0.8,118,118,1.0,0.8220338983050848,1.1678156817785004,2.875272515849646
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_ar2,ARIMA,7,0.8,112,112,1.0,0.9107142857142857,1.3696441716221381,2.993752134531325
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_arma11,ARIMA,1,0.8,120,120,1.0,0.8333333333333334,1.0431418396639602,2.5164502813096976
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_arma11,ARIMA,2,0.8,119,119,1.0,0.8319327731092437,1.0961080351434866,2.6729151133379596
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_arma11,ARIMA,7,0.8,113,113,1.0,0.9026548672566371,1.2165602827472166,2.421387412001901
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_mean,ARIMA,1,0.8,112,112,1.0,0.8660714285714286,1.504037311329437,3.7325894651354408
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_mean,ARIMA,2,0.8,111,111,1.0,0.8288288288288288,1.5109325325156986,3.644211466485582
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arima_mean,ARIMA,7,0.8,105,105,1.0,0.8952380952380953,1.4791903106078061,3.614420087975417
toe_pre_topple_long,toe_E5_C,secondary_primary_window,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,1,0.8,119,119,1.0,0.8487394957983193,1.0775787586703687,2.7377054190473515
